feature,importance
Previous qualification_8,0.018721461562487555
Educational special needs_0,0.01706651769003757
Mother's occupation_24,0.01476586673573605
Nacionality_13,0.013805234568312438
Daytime/evening attendance_0,0.012581504121892058
Nacionality_5,0.012506152283292485
Father's qualification_19,0.011468502715878388
Nacionality_15,0.010909946448237203
Mother's qualification_14,0.009128297085474748
Father's qualification_15,0.004914153605815444
Previous qualification_5,0.000962386643129458
Previous qualification_10,0.0008303930542306053
Mother's qualification_11,0.0004687756969774936
Father's qualification_18,0.0002808110644689029
